thrower_id,exchange_time,throw_pos_x,throw_pos_y,throw_velo_x,throw_velo_y,throw_velo_z,receiver_pos_x,receiver_pos_y,receiver_dist_from_1b,start_state,end_state,batter_result,bounce
400,1.533,-60.1161233358828,132.187283396569,60.0475568449526,-33.5963639083641,8.58347019309918,56.199322509326,60.187775579077,8.20201472179374,____1,1___1,first,True
300,0.767,-38.8093279742548,121.723079601766,67.6981652603824,-32.0248447388172,8.12279718205879,59.8529372725168,64.1341951345363,3.81883579384135,____2,____3,out,False
566,1.266,-28.8765061714767,133.288663959509,60.3808594300129,-44.0405632980492,6.34086504104919,59.6931776685923,63.0910144316279,3.98438050417758,____0,____1,out,False
566,1.2,-13.8262740165004,133.959337450425,54.4553056873471,-44.5999978497545,5.89057463878355,60.3878547031191,64.6725001563629,3.41185813704975,12__2,____3,out,False
337,1.1,-30.3682991450999,122.405123036418,67.8510088591307,-37.3754956269865,9.61101759165533,61.0381961253706,64.0437875682767,2.63262511611313,____0,____1,out,False
337,1.333,-4.91660478428782,140.095065394567,56.0192551111208,-55.2876687644854,7.17955599270946,61.5575806366181,64.5212576125839,2.26100630677758,____0,____1,out,False
182,1.467,-22.5572503357051,118.475720101191,65.1502392513765,-40.3719241338712,6.80020511963304,60.1912733867567,63.6521772835976,3.44835981924245,____1,____2,out,False
269,0.833,-32.6609318430261,148.219802690603,65.7251582504096,-55.3294532462901,-3.67744369560959,60.2070318970965,63.8029202570184,3.43646106896802,____2,____3,out,True
269,1.4,-17.8048419568624,148.394128197866,49.1275125396641,-48.4241958417998,12.5722233092163,61.0051899493851,64.6830301238291,2.83353057758284,____2,____3,out,False
814,0.466,-21.0368170953592,97.8343271019246,64.9433107177322,-18.1721609430338,8.14952936065929,61.8620441613482,67.3709496810084,4.13311443429966,1___2,____3,out,False
814,1.2,-52.9212615044321,133.789418253479,70.2146697331849,-37.8201501364574,10.4215913351947,61.7804221021984,64.6202397613768,2.10195502028337,____0,____1,out,False
